season,date,phase,round_num,stage,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,one_sided,venue,referee
2022/23,2022-08-20,regular,1,Ligat Ha'al,Hapoel Haifa,Hapoel Tel Aviv,2,0,2,H,3,0,0,Sammy Ofer Stadium,O. Grinfeeld
2022/23,2022-08-20,regular,1,Ligat Ha'al,Hapoel Katamon,Hapoel Hadera,1,1,0,D,1,1,0,HaMoshava Stadium,A. Shiloach
2022/23,2022-08-20,regular,1,Ligat Ha'al,Maccabi Netanya,Beitar Jerusalem,4,1,3,H,3,0,1,Netanya Stadium,R. Reinshreiber
2022/23,2022-08-21,regular,1,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Bnei Raina,5,0,5,H,3,0,1,Bloomfield Stadium,I. Frid
2022/23,2022-08-22,regular,1,Ligat Ha'al,Sektzia Nes Tziona,Ironi Kiryat Shmona,0,2,-2,A,0,3,0,HaMoshava Stadium,Y. Mizrahi
2022/23,2022-08-27,regular,2,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Katamon,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,O. Na'al
2022/23,2022-08-27,regular,2,Ligat Ha'al,Hapoel Tel Aviv,Bnei Sakhnin,0,2,-2,A,0,3,0,Bloomfield Stadium,R. Reinshreiber
2022/23,2022-08-27,regular,2,Ligat Ha'al,Maccabi Haifa,Maccabi Netanya,4,1,3,H,3,0,1,Sammy Ofer Stadium,S. Levi
2022/23,2022-08-27,regular,2,Ligat Ha'al,Ashdod,Sektzia Nes Tziona,1,0,1,H,3,0,0,Yud-Alef Stadium,O. Asulin
2022/23,2022-08-28,regular,2,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Haifa,1,1,0,D,1,1,0,Green Stadium,S. Ben Avraham
2022/23,2022-08-28,regular,2,Ligat Ha'al,Beitar Jerusalem,Hapoel Beer Sheva,0,5,-5,A,0,3,1,HaMoshava Stadium,O. Grinfeeld
2022/23,2022-08-29,regular,2,Ligat Ha'al,Hapoel Hadera,Maccabi Tel Aviv,0,6,-6,A,0,3,1,Netanya Stadium,I. Layba
2022/23,2022-08-30,regular,1,Ligat Ha'al,Bnei Sakhnin,Maccabi Haifa,0,1,-1,A,0,3,0,Doha Stadium,G. Laibuvitz
2022/23,2022-08-31,regular,1,Ligat Ha'al,Hapoel Beer Sheva,Ashdod,1,2,-1,A,0,3,0,Yaakov Turner Toto Stadium,D. Fuxman
2022/23,2022-09-03,regular,3,Ligat Ha'al,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,2,H,3,0,0,Bloomfield Stadium,S. Levi
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Katamon,Ashdod,3,0,3,H,3,0,1,HaMoshava Stadium,N. Steif
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,1,2,-1,A,0,3,0,Sammy Ofer Stadium,A. Shiloach
2022/23,2022-09-03,regular,3,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,1,2,-1,A,0,3,0,Yaakov Turner Toto Stadium,I. Frid
2022/23,2022-09-04,regular,3,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,2,-1,A,0,3,0,Green Stadium,G. Levi
2022/23,2022-09-04,regular,3,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,0,3,-3,A,0,3,1,HaMoshava Stadium,I. Layba
2022/23,2022-09-05,regular,3,Ligat Ha'al,Maccabi Netanya,Hapoel Tel Aviv,0,2,-2,A,0,3,0,Netanya Stadium,E. Shmuelevich
2022/23,2022-09-10,regular,4,Ligat Ha'al,Maccabi Haifa,Sektzia Nes Tziona,3,1,2,H,3,0,0,Sammy Ofer Stadium,E. Papir
2022/23,2022-09-10,regular,4,Ligat Ha'al,Bnei Sakhnin,Maccabi Netanya,0,0,0,D,1,1,0,Doha Stadium,S. Ben Avraham
2022/23,2022-09-10,regular,4,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,1,0,D,1,1,0,Netanya Stadium,O. Na'al
2022/23,2022-09-10,regular,4,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,0,0,0,D,1,1,0,Yud-Alef Stadium,O. Grinfeeld
2022/23,2022-09-11,regular,4,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Bnei Raina,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,O. Asulin
2022/23,2022-09-11,regular,4,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Beer Sheva,2,3,-1,A,0,3,0,Bloomfield Stadium,G. Laibuvitz
2022/23,2022-09-12,regular,4,Ligat Ha'al,Beitar Jerusalem,Hapoel Katamon,0,1,-1,A,0,3,0,Teddi Malcha Stadium,E. Shmuelevich
2022/23,2022-09-17,regular,5,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Tel Aviv,4,3,1,H,3,0,0,HaMoshava Stadium,S. Levi
2022/23,2022-09-17,regular,5,Ligat Ha'al,Maccabi Bnei Raina,Ashdod,1,1,0,D,1,1,0,Green Stadium,Y. Mizrahi
2022/23,2022-09-17,regular,5,Ligat Ha'al,Hapoel Haifa,Maccabi Netanya,0,0,0,D,1,1,0,Sammy Ofer Stadium,I. Frid
2022/23,2022-09-17,regular,5,Ligat Ha'al,Maccabi Tel Aviv,Beitar Jerusalem,4,0,4,H,3,0,1,Bloomfield Stadium,R. Reinshreiber
2022/23,2022-09-18,regular,5,Ligat Ha'al,Hapoel Hadera,Ironi Kiryat Shmona,1,1,0,D,1,1,0,Netanya Stadium,N. Steif
2022/23,2022-09-18,regular,5,Ligat Ha'al,Hapoel Beer Sheva,Bnei Sakhnin,1,0,1,H,3,0,0,Yaakov Turner Toto Stadium,I. Layba
2022/23,2022-09-18,regular,5,Ligat Ha'al,Hapoel Katamon,Maccabi Haifa,3,0,3,H,3,0,1,Teddi Malcha Stadium,A. Shiloach
2022/23,2022-10-01,regular,6,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Haifa,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,D. Fuxman
2022/23,2022-10-01,regular,6,Ligat Ha'al,Ashdod,Hapoel Hadera,1,1,0,D,1,1,0,Yud-Alef Stadium,G. Laibuvitz
2022/23,2022-10-01,regular,6,Ligat Ha'al,Maccabi Netanya,Hapoel Beer Sheva,1,2,-1,A,0,3,0,Netanya Stadium,R. Reinshreiber
2022/23,2022-10-01,regular,6,Ligat Ha'al,Maccabi Haifa,Maccabi Tel Aviv,2,0,2,H,3,0,0,Sammy Ofer Stadium,E. Shmuelevich
2022/23,2022-10-02,regular,6,Ligat Ha'al,Bnei Sakhnin,Sektzia Nes Tziona,2,0,2,H,3,0,0,Doha Stadium,G. Levi
2022/23,2022-10-02,regular,6,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Katamon,1,3,-2,A,0,3,0,Bloomfield Stadium,N. Steif
2022/23,2022-10-03,regular,6,Ligat Ha'al,Beitar Jerusalem,Maccabi Bnei Raina,2,3,-1,A,0,3,0,Bloomfield Stadium,E. Papir
2022/23,2022-10-08,regular,7,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Netanya,1,1,0,D,1,1,0,HaMoshava Stadium,O. Grinfeeld
2022/23,2022-10-08,regular,7,Ligat Ha'al,Hapoel Katamon,Bnei Sakhnin,1,2,-1,A,0,3,0,Teddi Malcha Stadium,S. Levi
2022/23,2022-10-08,regular,7,Ligat Ha'al,Hapoel Hadera,Beitar Jerusalem,2,1,1,H,3,0,0,Netanya Stadium,I. Frid
2022/23,2022-10-08,regular,7,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Haifa,1,0,1,H,3,0,0,Green Stadium,I. Layba
2022/23,2022-10-10,regular,7,Ligat Ha'al,Ironi Kiryat Shmona,Ashdod,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,S. Ben Avraham
2022/23,2022-10-10,regular,7,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Haifa,2,2,0,D,1,1,0,Yaakov Turner Toto Stadium,A. Shiloach
2022/23,2022-10-10,regular,7,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Tel Aviv,3,0,3,H,3,0,1,Bloomfield Stadium,R. Reinshreiber
2022/23,2022-10-15,regular,8,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Bnei Raina,2,0,2,H,3,0,0,Bloomfield Stadium,O. Grinfeeld
2022/23,2022-10-15,regular,8,Ligat Ha'al,Ashdod,Hapoel Haifa,4,0,4,H,3,0,1,Yud-Alef Stadium,E. Shmuelevich
2022/23,2022-10-15,regular,8,Ligat Ha'al,Beitar Jerusalem,Ironi Kiryat Shmona,2,0,2,H,3,0,0,Teddi Malcha Stadium,I. Layba
2022/23,2022-10-15,regular,8,Ligat Ha'al,Bnei Sakhnin,Maccabi Tel Aviv,0,1,-1,A,0,3,0,Doha Stadium,D. Fuxman
2022/23,2022-10-17,regular,8,Ligat Ha'al,Maccabi Netanya,Hapoel Katamon,0,2,-2,A,0,3,0,Netanya Stadium,O. Asulin
2022/23,2022-10-17,regular,8,Ligat Ha'al,Hapoel Beer Sheva,Sektzia Nes Tziona,1,1,0,D,1,1,0,Yaakov Turner Toto Stadium,O. Na'al
2022/23,2022-10-17,regular,8,Ligat Ha'al,Maccabi Haifa,Hapoel Hadera,1,0,1,H,3,0,0,Sammy Ofer Stadium,S. Levi
2022/23,2022-10-22,regular,9,Ligat Ha'al,Hapoel Katamon,Hapoel Beer Sheva,1,4,-3,A,0,3,1,Teddi Malcha Stadium,O. Grinfeeld
2022/23,2022-10-22,regular,9,Ligat Ha'al,Hapoel Haifa,Sektzia Nes Tziona,0,1,-1,A,0,3,0,Sammy Ofer Stadium,E. Papir
2022/23,2022-10-22,regular,9,Ligat Ha'al,Ashdod,Beitar Jerusalem,0,2,-2,A,0,3,0,Yud-Alef Stadium,A. Shiloach
2022/23,2022-10-22,regular,9,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Haifa,2,3,-1,A,0,3,0,Kiryat-Shmona Municipal Stadium,O. Na'al
2022/23,2022-10-23,regular,9,Ligat Ha'al,Maccabi Bnei Raina,Bnei Sakhnin,2,0,2,H,3,0,0,Green Stadium,R. Reinshreiber
2022/23,2022-10-23,regular,9,Ligat Ha'al,Hapoel Hadera,Hapoel Tel Aviv,0,0,0,D,1,1,0,Netanya Stadium,G. Levi
2022/23,2022-10-24,regular,9,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Netanya,3,0,3,H,3,0,1,Bloomfield Stadium,G. Laibuvitz
2022/23,2022-10-29,regular,10,Ligat Ha'al,Maccabi Haifa,Ashdod,3,1,2,H,3,0,0,Sammy Ofer Stadium,G. Laibuvitz
2022/23,2022-10-29,regular,10,Ligat Ha'al,Bnei Sakhnin,Hapoel Hadera,1,4,-3,A,0,3,1,Doha Stadium,Y. Mizrahi
2022/23,2022-10-29,regular,10,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Katamon,0,2,-2,A,0,3,0,HaMoshava Stadium,M. Rushrush
2022/23,2022-10-29,regular,10,Ligat Ha'al,Maccabi Netanya,Maccabi Bnei Raina,2,1,1,H,3,0,0,Netanya Stadium,S. Ben Avraham
2022/23,2022-10-29,regular,10,Ligat Ha'al,Beitar Jerusalem,Hapoel Haifa,0,0,0,D,1,1,0,Teddi Malcha Stadium,N. Steif
2022/23,2022-10-30,regular,10,Ligat Ha'al,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,1,1,H,3,0,0,Bloomfield Stadium,O. Asulin
2022/23,2022-10-31,regular,10,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Tel Aviv,2,0,2,H,3,0,0,Yaakov Turner Toto Stadium,E. Shmuelevich
2022/23,2022-11-05,regular,11,Ligat Ha'al,Maccabi Tel Aviv,Sektzia Nes Tziona,1,1,0,D,1,1,0,Bloomfield Stadium,S. Levi
2022/23,2022-11-05,regular,11,Ligat Ha'al,Hapoel Hadera,Maccabi Netanya,3,1,2,H,3,0,0,Netanya Stadium,N. Odeh
2022/23,2022-11-05,regular,11,Ligat Ha'al,Hapoel Haifa,Hapoel Katamon,1,0,1,H,3,0,0,Sammy Ofer Stadium,R. Reinshreiber
2022/23,2022-11-05,regular,11,Ligat Ha'al,Ironi Kiryat Shmona,Bnei Sakhnin,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,E. Papir
2022/23,2022-11-05,regular,11,Ligat Ha'al,Ashdod,Hapoel Tel Aviv,1,0,1,H,3,0,0,Yud-Alef Stadium,D. Fuxman
2022/23,2022-11-06,regular,11,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Beer Sheva,0,3,-3,A,0,3,1,Green Stadium,G. Laibuvitz
2022/23,2022-11-06,regular,11,Ligat Ha'al,Beitar Jerusalem,Maccabi Haifa,1,4,-3,A,0,3,1,Teddi Malcha Stadium,O. Grinfeeld
2022/23,2022-11-08,regular,12,Ligat Ha'al,Bnei Sakhnin,Ashdod,1,1,0,D,1,1,0,Doha Stadium,O. Asulin
2022/23,2022-11-08,regular,12,Ligat Ha'al,Maccabi Netanya,Ironi Kiryat Shmona,1,0,1,H,3,0,0,Netanya Stadium,G. Levi
2022/23,2022-11-08,regular,12,Ligat Ha'al,Hapoel Katamon,Maccabi Tel Aviv,0,3,-3,A,0,3,1,Teddi Malcha Stadium,E. Papir
2022/23,2022-11-09,regular,12,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Bnei Raina,3,3,0,D,1,1,0,HaMoshava Stadium,Y. Mizrahi
2022/23,2022-11-09,regular,12,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Hadera,3,0,3,H,3,0,1,Yaakov Turner Toto Stadium,S. Ben Avraham
2022/23,2022-11-09,regular,12,Ligat Ha'al,Hapoel Tel Aviv,Beitar Jerusalem,2,1,1,H,3,0,0,Bloomfield Stadium,E. Shmuelevich
2022/23,2022-11-09,regular,12,Ligat Ha'al,Hapoel Haifa,Maccabi Haifa,0,1,-1,A,0,3,0,Sammy Ofer Stadium,I. Layba
2022/23,2022-11-12,regular,13,Ligat Ha'al,Ashdod,Maccabi Netanya,2,3,-1,A,0,3,0,Yud-Alef Stadium,I. Frid
2022/23,2022-11-12,regular,13,Ligat Ha'al,Hapoel Hadera,Sektzia Nes Tziona,0,0,0,D,1,1,0,Netanya Stadium,N. Steif
2022/23,2022-11-12,regular,13,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Haifa,1,0,1,H,3,0,0,Bloomfield Stadium,N. Odeh
2022/23,2022-11-13,regular,13,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Katamon,0,2,-2,A,0,3,0,Green Stadium,D. Fuxman
2022/23,2022-11-13,regular,13,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Beer Sheva,0,2,-2,A,0,3,0,Kiryat-Shmona Municipal Stadium,R. Reinshreiber
2022/23,2022-11-13,regular,13,Ligat Ha'al,Maccabi Haifa,Hapoel Tel Aviv,5,2,3,H,3,0,1,Sammy Ofer Stadium,S. Levi
2022/23,2022-11-14,regular,13,Ligat Ha'al,Beitar Jerusalem,Bnei Sakhnin,2,1,1,H,3,0,0,Teddi Malcha Stadium,A. Shiloach
2022/23,2022-12-17,regular,14,Ligat Ha'al,Hapoel Hadera,Hapoel Katamon,0,0,0,D,1,1,0,Netanya Stadium,S. Levi
2022/23,2022-12-17,regular,14,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Haifa,3,3,0,D,1,1,0,Bloomfield Stadium,S. Ben Avraham
2022/23,2022-12-17,regular,14,Ligat Ha'al,Beitar Jerusalem,Maccabi Netanya,6,3,3,H,3,0,1,Teddi Malcha Stadium,G. Laibuvitz
2022/23,2022-12-17,regular,14,Ligat Ha'al,Ashdod,Hapoel Beer Sheva,0,1,-1,A,0,3,0,Yud-Alef Stadium,O. Grinfeeld
2022/23,2022-12-19,regular,14,Ligat Ha'al,Ironi Kiryat Shmona,Sektzia Nes Tziona,3,3,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,E. Shmuelevich
2022/23,2022-12-19,regular,14,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Tel Aviv,0,2,-2,A,0,3,0,Green Stadium,O. Asulin
2022/23,2022-12-19,regular,14,Ligat Ha'al,Maccabi Haifa,Bnei Sakhnin,3,1,2,H,3,0,0,Sammy Ofer Stadium,N. Odeh
2022/23,2022-12-24,regular,15,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Hadera,5,0,5,H,3,0,1,Bloomfield Stadium,D. Fuxman
2022/23,2022-12-24,regular,15,Ligat Ha'al,Hapoel Katamon,Ironi Kiryat Shmona,1,1,0,D,1,1,0,Teddi Malcha Stadium,N. Steif
2022/23,2022-12-24,regular,15,Ligat Ha'al,Hapoel Haifa,Maccabi Bnei Raina,0,0,0,D,1,1,0,Sammy Ofer Stadium,G. Levi
2022/23,2022-12-24,regular,15,Ligat Ha'al,Sektzia Nes Tziona,Ashdod,2,0,2,H,3,0,0,Nes Tziona Stadium,M. Rushrush
2022/23,2022-12-24,regular,15,Ligat Ha'al,Hapoel Beer Sheva,Beitar Jerusalem,3,2,1,H,3,0,0,Yaakov Turner Toto Stadium,E. Shmuelevich
2022/23,2022-12-25,regular,15,Ligat Ha'al,Bnei Sakhnin,Hapoel Tel Aviv,1,1,0,D,1,1,0,Doha Stadium,R. Reinshreiber
2022/23,2022-12-26,regular,15,Ligat Ha'al,Maccabi Netanya,Maccabi Haifa,0,2,-2,A,0,3,0,Netanya Stadium,O. Grinfeeld
2022/23,2022-12-31,regular,16,Ligat Ha'al,Beitar Jerusalem,Sektzia Nes Tziona,3,2,1,H,3,0,0,Teddi Malcha Stadium,O. Asulin
2022/23,2022-12-31,regular,16,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Netanya,1,1,0,D,1,1,0,Bloomfield Stadium,A. Shiloach
2022/23,2022-12-31,regular,16,Ligat Ha'al,Bnei Sakhnin,Hapoel Haifa,1,2,-1,A,0,3,0,Doha Stadium,O. Grinfeeld
2022/23,2022-12-31,regular,16,Ligat Ha'al,Ashdod,Hapoel Katamon,1,1,0,D,1,1,0,Yud-Alef Stadium,Y. Mizrahi
2022/23,2022-12-31,regular,16,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Tel Aviv,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,I. Layba
2022/23,2023-01-01,regular,16,Ligat Ha'al,Hapoel Hadera,Maccabi Bnei Raina,2,2,0,D,1,1,0,Netanya Stadium,M. Rushrush
2022/23,2023-01-01,regular,16,Ligat Ha'al,Maccabi Haifa,Hapoel Beer Sheva,2,0,2,H,3,0,0,Sammy Ofer Stadium,R. Reinshreiber
2022/23,2023-01-07,regular,17,Ligat Ha'al,Maccabi Netanya,Bnei Sakhnin,0,0,0,D,1,1,0,Netanya Stadium,S. Ben Avraham
2022/23,2023-01-07,regular,17,Ligat Ha'al,Maccabi Tel Aviv,Ashdod,3,0,3,H,3,0,1,Bloomfield Stadium,N. Odeh
2022/23,2023-01-07,regular,17,Ligat Ha'al,Hapoel Haifa,Hapoel Hadera,3,0,3,H,3,0,1,Sammy Ofer Stadium,I. Frid
2022/23,2023-01-07,regular,17,Ligat Ha'al,Hapoel Katamon,Beitar Jerusalem,1,1,0,D,1,1,0,Teddi Malcha Stadium,O. Grinfeeld
2022/23,2023-01-08,regular,17,Ligat Ha'al,Maccabi Bnei Raina,Ironi Kiryat Shmona,0,1,-1,A,0,3,0,Green Stadium,A. Shiloach
2022/23,2023-01-08,regular,17,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Haifa,0,2,-2,A,0,3,0,HaMoshava Stadium,S. Levi
2022/23,2023-01-09,regular,17,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Tel Aviv,6,0,6,H,3,0,1,Yaakov Turner Toto Stadium,I. Layba
2022/23,2023-01-14,regular,18,Ligat Ha'al,Hapoel Tel Aviv,Sektzia Nes Tziona,1,1,0,D,1,1,0,Bloomfield Stadium,I. Frid
