season,date,phase,round_num,stage,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,one_sided,venue,referee
2022/23,2023-01-14,regular,18,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Hadera,2,2,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,G. Levi
2022/23,2023-01-14,regular,18,Ligat Ha'al,Ashdod,Maccabi Bnei Raina,3,0,3,H,3,0,1,Yud-Alef Stadium,D. Fuxman
2022/23,2023-01-14,regular,18,Ligat Ha'al,Maccabi Netanya,Hapoel Haifa,1,0,1,H,3,0,0,Netanya Stadium,N. Steif
2022/23,2023-01-15,regular,18,Ligat Ha'al,Maccabi Haifa,Hapoel Katamon,2,1,1,H,3,0,0,Sammy Ofer Stadium,S. Ben Avraham
2022/23,2023-01-16,regular,18,Ligat Ha'al,Beitar Jerusalem,Maccabi Tel Aviv,2,2,0,D,1,1,0,Teddi Malcha Stadium,G. Laibuvitz
2022/23,2023-01-21,regular,19,Ligat Ha'al,Hapoel Katamon,Hapoel Tel Aviv,0,0,0,D,1,1,0,Teddi Malcha Stadium,A. Shiloach
2022/23,2023-01-21,regular,19,Ligat Ha'al,Hapoel Haifa,Ironi Kiryat Shmona,1,0,1,H,3,0,0,Sammy Ofer Stadium,Y. Mizrahi
2022/23,2023-01-21,regular,19,Ligat Ha'al,Sektzia Nes Tziona,Bnei Sakhnin,0,0,0,D,1,1,0,HaMoshava Stadium,N. Steif
2022/23,2023-01-21,regular,19,Ligat Ha'al,Hapoel Hadera,Ashdod,0,2,-2,A,0,3,0,Netanya Stadium,O. Asulin
2022/23,2023-01-21,regular,19,Ligat Ha'al,Maccabi Bnei Raina,Beitar Jerusalem,0,2,-2,A,0,3,0,Green Stadium,S. Levi
2022/23,2023-01-22,regular,19,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Netanya,2,2,0,D,1,1,0,Yaakov Turner Toto Stadium,I. Frid
2022/23,2023-01-23,regular,19,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Haifa,3,0,3,H,3,0,1,Bloomfield Stadium,O. Grinfeeld
2022/23,2023-01-28,regular,20,Ligat Ha'al,Maccabi Haifa,Maccabi Bnei Raina,0,0,0,D,1,1,0,Sammy Ofer Stadium,I. Frid
2022/23,2023-01-28,regular,20,Ligat Ha'al,Ashdod,Ironi Kiryat Shmona,1,1,0,D,1,1,0,Yud-Alef Stadium,N. Steif
2022/23,2023-01-28,regular,20,Ligat Ha'al,Maccabi Netanya,Sektzia Nes Tziona,3,0,3,H,3,0,1,Netanya Stadium,M. Rushrush
2022/23,2023-01-28,regular,20,Ligat Ha'al,Beitar Jerusalem,Hapoel Hadera,0,2,-2,A,0,3,0,HaMoshava Stadium,R. Reinshreiber
2022/23,2023-01-28,regular,20,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Tel Aviv,0,0,0,D,1,1,0,Bloomfield Stadium,S. Levi
2022/23,2023-01-29,regular,20,Ligat Ha'al,Hapoel Haifa,Hapoel Beer Sheva,0,1,-1,A,0,3,0,Sammy Ofer Stadium,N. Odeh
2022/23,2023-01-30,regular,20,Ligat Ha'al,Bnei Sakhnin,Hapoel Katamon,2,1,1,H,3,0,0,Doha Stadium,G. Levi
2022/23,2023-02-04,regular,21,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Beer Sheva,0,1,-1,A,0,3,0,HaMoshava Stadium,I. Layba
2022/23,2023-02-04,regular,21,Ligat Ha'al,Maccabi Tel Aviv,Bnei Sakhnin,1,1,0,D,1,1,0,Bloomfield Stadium,I. Frid
2022/23,2023-02-04,regular,21,Ligat Ha'al,Hapoel Haifa,Ashdod,1,1,0,D,1,1,0,Sammy Ofer Stadium,E. Shmuelevich
2022/23,2023-02-04,regular,21,Ligat Ha'al,Hapoel Katamon,Maccabi Netanya,0,2,-2,A,0,3,0,Teddi Malcha Stadium,R. Reinshreiber
2022/23,2023-02-04,regular,21,Ligat Ha'al,Ironi Kiryat Shmona,Beitar Jerusalem,0,3,-3,A,0,3,1,Kiryat-Shmona Municipal Stadium,N. Odeh
2022/23,2023-02-05,regular,21,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Tel Aviv,1,1,0,D,1,1,0,Netanya Stadium,S. Ben Avraham
2022/23,2023-02-08,regular,18,Ligat Ha'al,Bnei Sakhnin,Hapoel Beer Sheva,0,1,-1,A,0,3,0,Doha Stadium,A. Shiloach
2022/23,2023-02-08,regular,21,Ligat Ha'al,Hapoel Hadera,Maccabi Haifa,1,1,0,D,1,1,0,Netanya Stadium,G. Laibuvitz
2022/23,2023-02-11,regular,22,Ligat Ha'al,Beitar Jerusalem,Ashdod,2,1,1,H,3,0,0,Teddi Malcha Stadium,I. Layba
2022/23,2023-02-11,regular,22,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Katamon,0,0,0,D,1,1,0,Yaakov Turner Toto Stadium,O. Grinfeeld
2022/23,2023-02-11,regular,22,Ligat Ha'al,Bnei Sakhnin,Maccabi Bnei Raina,1,1,0,D,1,1,0,Doha Stadium,O. Asulin
2022/23,2023-02-11,regular,22,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Haifa,0,2,-2,A,0,3,0,HaMoshava Stadium,D. Tzino
2022/23,2023-02-11,regular,22,Ligat Ha'al,Maccabi Haifa,Ironi Kiryat Shmona,2,0,2,H,3,0,0,Sammy Ofer Stadium,R. Reinshreiber
2022/23,2023-02-12,regular,22,Ligat Ha'al,Hapoel Tel Aviv,Hapoel Hadera,0,0,0,D,1,1,0,Bloomfield Stadium,E. Shmuelevich
2022/23,2023-02-13,regular,22,Ligat Ha'al,Maccabi Netanya,Maccabi Tel Aviv,2,1,1,H,3,0,0,Netanya Stadium,N. Odeh
2022/23,2023-02-18,regular,23,Ligat Ha'al,Ironi Kiryat Shmona,Hapoel Tel Aviv,0,1,-1,A,0,3,0,Kiryat-Shmona Municipal Stadium,I. Layba
2022/23,2023-02-18,regular,23,Ligat Ha'al,Maccabi Bnei Raina,Maccabi Netanya,1,2,-1,A,0,3,0,Green Stadium,S. Levi
2022/23,2023-02-18,regular,23,Ligat Ha'al,Hapoel Katamon,Sektzia Nes Tziona,1,0,1,H,3,0,0,Teddi Malcha Stadium,O. Asulin
2022/23,2023-02-18,regular,23,Ligat Ha'al,Hapoel Hadera,Bnei Sakhnin,1,3,-2,A,0,3,0,Netanya Stadium,Y. Mizrahi
2022/23,2023-02-18,regular,23,Ligat Ha'al,Ashdod,Maccabi Haifa,3,1,2,H,3,0,0,Yud-Alef Stadium,I. Frid
2022/23,2023-02-19,regular,23,Ligat Ha'al,Hapoel Haifa,Beitar Jerusalem,0,0,0,D,1,1,0,Sammy Ofer Stadium,O. Grinfeeld
2022/23,2023-02-20,regular,23,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Beer Sheva,1,0,1,H,3,0,0,Bloomfield Stadium,R. Reinshreiber
2022/23,2023-02-25,regular,24,Ligat Ha'al,Hapoel Tel Aviv,Ashdod,1,2,-1,A,0,3,0,Bloomfield Stadium,O. Grinfeeld
2022/23,2023-02-25,regular,24,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Tel Aviv,0,2,-2,A,0,3,0,HaMoshava Stadium,D. Fuxman
2022/23,2023-02-25,regular,24,Ligat Ha'al,Bnei Sakhnin,Ironi Kiryat Shmona,1,3,-2,A,0,3,0,Doha Stadium,S. Levi
2022/23,2023-02-25,regular,24,Ligat Ha'al,Maccabi Netanya,Hapoel Hadera,1,0,1,H,3,0,0,Netanya Stadium,A. Shiloach
2022/23,2023-02-25,regular,24,Ligat Ha'al,Maccabi Haifa,Beitar Jerusalem,2,1,1,H,3,0,0,Sammy Ofer Stadium,G. Laibuvitz
2022/23,2023-02-26,regular,24,Ligat Ha'al,Hapoel Katamon,Hapoel Haifa,2,2,0,D,1,1,0,Teddi Malcha Stadium,I. Frid
2022/23,2023-02-27,regular,24,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Bnei Raina,2,0,2,H,3,0,0,Yaakov Turner Toto Stadium,I. Layba
2022/23,2023-03-04,regular,25,Ligat Ha'al,Ironi Kiryat Shmona,Maccabi Netanya,2,2,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,N. Odeh
2022/23,2023-03-04,regular,25,Ligat Ha'al,Hapoel Hadera,Hapoel Beer Sheva,0,3,-3,A,0,3,1,Netanya Stadium,D. Fuxman
2022/23,2023-03-04,regular,25,Ligat Ha'al,Ashdod,Bnei Sakhnin,1,1,0,D,1,1,0,Yud-Alef Stadium,O. Asulin
2022/23,2023-03-04,regular,25,Ligat Ha'al,Maccabi Bnei Raina,Sektzia Nes Tziona,3,2,1,H,3,0,0,Green Stadium,E. Shmuelevich
2022/23,2023-03-04,regular,25,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Katamon,1,2,-1,A,0,3,0,Bloomfield Stadium,I. Layba
2022/23,2023-03-05,regular,25,Ligat Ha'al,Beitar Jerusalem,Hapoel Tel Aviv,1,3,-2,A,0,3,0,Teddi Malcha Stadium,I. Frid
2022/23,2023-03-06,regular,25,Ligat Ha'al,Maccabi Haifa,Hapoel Haifa,4,1,3,H,3,0,1,Sammy Ofer Stadium,S. Levi
2022/23,2023-03-11,regular,26,Ligat Ha'al,Hapoel Haifa,Maccabi Tel Aviv,1,1,0,D,1,1,0,Sammy Ofer Stadium,A. Shiloach
2022/23,2023-03-11,regular,26,Ligat Ha'al,Hapoel Katamon,Maccabi Bnei Raina,0,1,-1,A,0,3,0,Teddi Malcha Stadium,O. Asulin
2022/23,2023-03-11,regular,26,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Hadera,1,3,-2,A,0,3,0,HaMoshava Stadium,N. Steif
2022/23,2023-03-11,regular,26,Ligat Ha'al,Bnei Sakhnin,Beitar Jerusalem,2,0,2,H,3,0,0,Doha Stadium,I. Layba
2022/23,2023-03-11,regular,26,Ligat Ha'al,Maccabi Netanya,Ashdod,0,2,-2,A,0,3,0,Netanya Stadium,S. Levi
2022/23,2023-03-12,regular,26,Ligat Ha'al,Hapoel Beer Sheva,Ironi Kiryat Shmona,2,1,1,H,3,0,0,Yaakov Turner Toto Stadium,S. Ben Avraham
2022/23,2023-03-13,regular,26,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Haifa,0,1,-1,A,0,3,0,Bloomfield Stadium,E. Shmuelevich
2022/23,2023-03-18,championship,1,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Katamon,1,0,1,H,3,0,0,Yaakov Turner Toto Stadium,N. Odeh
2022/23,2023-03-18,championship,1,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Netanya,2,0,2,H,3,0,0,Bloomfield Stadium,G. Laibuvitz
2022/23,2023-03-18,relegation,1,Ligat Ha'al,Hapoel Hadera,Sektzia Nes Tziona,1,2,-1,A,0,3,0,Netanya Stadium,I. Frid
2022/23,2023-03-18,relegation,1,Ligat Ha'al,Beitar Jerusalem,Hapoel Tel Aviv,2,1,1,H,3,0,0,Teddi Malcha Stadium,R. Reinshreiber
2022/23,2023-03-18,championship,1,Ligat Ha'al,Maccabi Haifa,Ashdod,2,1,1,H,3,0,0,Sammy Ofer Stadium,A. Shiloach
2022/23,2023-03-19,relegation,1,Ligat Ha'al,Bnei Sakhnin,Maccabi Bnei Raina,2,2,0,D,1,1,0,Doha Stadium,O. Grinfeeld
2022/23,2023-03-19,relegation,1,Ligat Ha'al,Hapoel Haifa,Ironi Kiryat Shmona,1,1,0,D,1,1,0,Sammy Ofer Stadium,D. Fuxman
2022/23,2023-04-01,relegation,2,Ligat Ha'al,Hapoel Tel Aviv,Sektzia Nes Tziona,2,1,1,H,3,0,0,Bloomfield Stadium,I. Layba
2022/23,2023-04-01,championship,2,Ligat Ha'al,Hapoel Katamon,Maccabi Tel Aviv,0,2,-2,A,0,3,0,Teddi Malcha Stadium,D. Fuxman
2022/23,2023-04-01,championship,2,Ligat Ha'al,Maccabi Haifa,Hapoel Beer Sheva,1,0,1,H,3,0,0,Sammy Ofer Stadium,O. Grinfeeld
2022/23,2023-04-01,championship,2,Ligat Ha'al,Ashdod,Maccabi Netanya,3,2,1,H,3,0,0,Yud-Alef Stadium,R. Geva
2022/23,2023-04-02,relegation,2,Ligat Ha'al,Ironi Kiryat Shmona,Bnei Sakhnin,2,2,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,E. Shmuelevich
2022/23,2023-04-02,relegation,2,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,1,0,D,1,1,0,Green Stadium,S. Levi
2022/23,2023-04-03,relegation,2,Ligat Ha'al,Beitar Jerusalem,Hapoel Haifa,2,0,2,H,3,0,0,Teddi Malcha Stadium,Y. Mizrahi
2022/23,2023-04-04,championship,3,Ligat Ha'al,Maccabi Netanya,Hapoel Katamon,0,2,-2,A,0,3,0,Netanya Stadium,N. Steif
2022/23,2023-04-04,championship,3,Ligat Ha'al,Hapoel Beer Sheva,Ashdod,3,1,2,H,3,0,0,Yaakov Turner Toto Stadium,G. Laibuvitz
2022/23,2023-04-04,championship,3,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Haifa,1,1,0,D,1,1,0,Bloomfield Stadium,R. Reinshreiber
2022/23,2023-04-08,championship,4,Ligat Ha'al,Ashdod,Hapoel Katamon,0,1,-1,A,0,3,0,Yud-Alef Stadium,D. Tzino
2022/23,2023-04-08,championship,4,Ligat Ha'al,Maccabi Haifa,Maccabi Netanya,4,1,3,H,3,0,1,Sammy Ofer Stadium,I. Frid
2022/23,2023-04-10,championship,4,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Tel Aviv,1,2,-1,A,0,3,0,Yaakov Turner Toto Stadium,E. Shmuelevich
2022/23,2023-04-15,relegation,3,Ligat Ha'al,Hapoel Haifa,Hapoel Tel Aviv,1,0,1,H,3,0,0,Sammy Ofer Stadium,S. Ben Avraham
2022/23,2023-04-15,championship,5,Ligat Ha'al,Hapoel Katamon,Maccabi Haifa,2,1,1,H,3,0,0,Teddi Malcha Stadium,I. Layba
2022/23,2023-04-15,championship,5,Ligat Ha'al,Maccabi Tel Aviv,Ashdod,1,1,0,D,1,1,0,Bloomfield Stadium,N. Odeh
2022/23,2023-04-15,relegation,3,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Bnei Raina,1,2,-1,A,0,3,0,HaMoshava Stadium,D. Fuxman
2022/23,2023-04-15,relegation,3,Ligat Ha'al,Hapoel Hadera,Ironi Kiryat Shmona,1,1,0,D,1,1,0,Netanya Stadium,R. Reinshreiber
2022/23,2023-04-16,relegation,3,Ligat Ha'al,Bnei Sakhnin,Beitar Jerusalem,4,3,1,H,3,0,0,HaMoshava Stadium,S. Levi
2022/23,2023-04-16,championship,5,Ligat Ha'al,Maccabi Netanya,Hapoel Beer Sheva,1,1,0,D,1,1,0,Netanya Stadium,A. Shiloach
2022/23,2023-04-22,relegation,4,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Bnei Raina,1,2,-1,A,0,3,0,Bloomfield Stadium,A. Shiloach
2022/23,2023-04-22,championship,6,Ligat Ha'al,Hapoel Katamon,Hapoel Beer Sheva,1,2,-1,A,0,3,0,Teddi Malcha Stadium,S. Ben Avraham
2022/23,2023-04-22,relegation,4,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,2,2,0,D,1,1,0,Sammy Ofer Stadium,M. Rushrush
2022/23,2023-04-22,championship,6,Ligat Ha'al,Maccabi Netanya,Maccabi Tel Aviv,0,0,0,D,1,1,0,Netanya Stadium,S. Levi
2022/23,2023-04-22,relegation,4,Ligat Ha'al,Ironi Kiryat Shmona,Sektzia Nes Tziona,1,1,0,D,1,1,0,Kiryat-Shmona Municipal Stadium,I. Frid
2022/23,2023-04-23,relegation,4,Ligat Ha'al,Beitar Jerusalem,Hapoel Hadera,2,1,1,H,3,0,0,HaMoshava Stadium,G. Levi
2022/23,2023-04-23,championship,6,Ligat Ha'al,Ashdod,Maccabi Haifa,1,2,-1,A,0,3,0,Yud-Alef Stadium,O. Grinfeeld
2022/23,2023-04-29,relegation,5,Ligat Ha'al,Maccabi Bnei Raina,Ironi Kiryat Shmona,1,3,-2,A,0,3,0,Green Stadium,O. Grinfeeld
2022/23,2023-04-29,championship,7,Ligat Ha'al,Maccabi Netanya,Ashdod,2,0,2,H,3,0,0,Netanya Stadium,Y. Mizrahi
2022/23,2023-04-29,championship,7,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Katamon,2,1,1,H,3,0,0,Bloomfield Stadium,O. Asulin
2022/23,2023-04-29,relegation,5,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,1,3,-2,A,0,3,0,HaMoshava Stadium,N. Odeh
2022/23,2023-04-30,relegation,5,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,2,-1,A,0,3,0,Netanya Stadium,D. Tzino
2022/23,2023-04-30,relegation,5,Ligat Ha'al,Bnei Sakhnin,Hapoel Tel Aviv,0,1,-1,A,0,3,0,HaMoshava Stadium,G. Laibuvitz
2022/23,2023-05-01,championship,7,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,2,1,1,H,3,0,0,Yaakov Turner Toto Stadium,R. Reinshreiber
2022/23,2023-05-06,relegation,6,Ligat Ha'al,Hapoel Haifa,Sektzia Nes Tziona,0,1,-1,A,0,3,0,Sammy Ofer Stadium,R. Geva
2022/23,2023-05-06,relegation,6,Ligat Ha'al,Beitar Jerusalem,Maccabi Bnei Raina,0,1,-1,A,0,3,0,HaMoshava Stadium,D. Fuxman
2022/23,2023-05-06,relegation,6,Ligat Ha'al,Bnei Sakhnin,Hapoel Hadera,2,3,-1,A,0,3,0,Doha Stadium,I. Layba
2022/23,2023-05-06,relegation,6,Ligat Ha'al,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,2,0,D,1,1,0,Bloomfield Stadium,R. Reinshreiber
2022/23,2023-05-07,championship,8,Ligat Ha'al,Hapoel Katamon,Maccabi Netanya,1,4,-3,A,0,3,1,Teddi Malcha Stadium,G. Laibuvitz
2022/23,2023-05-08,championship,8,Ligat Ha'al,Maccabi Haifa,Maccabi Tel Aviv,3,1,2,H,3,0,0,Sammy Ofer Stadium,O. Grinfeeld
2022/23,2023-05-08,championship,8,Ligat Ha'al,Ashdod,Hapoel Beer Sheva,0,1,-1,A,0,3,0,Yud-Alef Stadium,I. Frid
2022/23,2023-05-13,relegation,7,Ligat Ha'al,Sektzia Nes Tziona,Bnei Sakhnin,1,1,0,D,1,1,0,HaMoshava Stadium,Y. Klez
2022/23,2023-05-13,relegation,7,Ligat Ha'al,Hapoel Hadera,Hapoel Tel Aviv,1,2,-1,A,0,3,0,Netanya Stadium,G. Levi
2022/23,2023-05-13,relegation,7,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Haifa,0,4,-4,A,0,3,1,Green Stadium,Y. Mizrahi
2022/23,2023-05-13,relegation,7,Ligat Ha'al,Ironi Kiryat Shmona,Beitar Jerusalem,3,2,1,H,3,0,0,Kiryat-Shmona Municipal Stadium,O. Asulin
2022/23,2023-05-14,championship,9,Ligat Ha'al,Hapoel Katamon,Ashdod,0,1,-1,A,0,3,0,Teddi Malcha Stadium,M. Rushrush
2022/23,2023-05-15,championship,9,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Beer Sheva,3,0,3,H,3,0,1,Bloomfield Stadium,G. Laibuvitz
2022/23,2023-05-15,championship,9,Ligat Ha'al,Maccabi Netanya,Maccabi Haifa,1,5,-4,A,0,3,1,Netanya Stadium,A. Shiloach
2022/23,2023-05-20,championship,10,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Netanya,2,0,2,H,3,0,0,Yaakov Turner Toto Stadium,N. Odeh
2022/23,2023-05-20,championship,10,Ligat Ha'al,Maccabi Haifa,Hapoel Katamon,5,0,5,H,3,0,1,Sammy Ofer Stadium,E. Shmuelevich
2022/23,2023-05-20,championship,10,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,1,2,-1,A,0,3,0,Yud-Alef Stadium,S. Ben Avraham
