season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,source
2007/08,2007,Beitar Jerusalem,Bnei Sakhnin,0,1,-1,A,0,3,wikipedia
2007/08,2007,Beitar Jerusalem,Bnei Yehuda,3,0,3,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,F.C. Ashdod,5,0,5,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Hapoel Kfar Saba,4,0,4,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Hapoel Tel Aviv,1,0,1,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Ironi Kiryat Shmona,0,0,0,D,1,1,wikipedia
2007/08,2007,Beitar Jerusalem,Maccabi Haifa,1,0,1,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Maccabi Herzliya,4,2,2,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Maccabi Netanya,2,0,2,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Maccabi Petah Tikva,2,1,1,H,3,0,wikipedia
2007/08,2007,Beitar Jerusalem,Maccabi Tel Aviv,2,0,2,H,3,0,wikipedia
2007/08,2007,Bnei Sakhnin,Beitar Jerusalem,2,2,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,Bnei Yehuda,0,0,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,F.C. Ashdod,3,0,3,H,3,0,wikipedia
2007/08,2007,Bnei Sakhnin,Hapoel Kfar Saba,1,1,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,Hapoel Tel Aviv,1,0,1,H,3,0,wikipedia
2007/08,2007,Bnei Sakhnin,Ironi Kiryat Shmona,0,0,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,Maccabi Haifa,1,1,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,Maccabi Herzliya,0,3,-3,A,0,3,wikipedia
2007/08,2007,Bnei Sakhnin,Maccabi Netanya,0,0,0,D,1,1,wikipedia
2007/08,2007,Bnei Sakhnin,Maccabi Petah Tikva,1,0,1,H,3,0,wikipedia
2007/08,2007,Bnei Sakhnin,Maccabi Tel Aviv,3,2,1,H,3,0,wikipedia
2007/08,2007,Bnei Yehuda,Beitar Jerusalem,0,3,-3,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Bnei Sakhnin,3,0,3,H,3,0,wikipedia
2007/08,2007,Bnei Yehuda,F.C. Ashdod,3,2,1,H,3,0,wikipedia
2007/08,2007,Bnei Yehuda,Hapoel Kfar Saba,0,2,-2,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Hapoel Tel Aviv,1,1,0,D,1,1,wikipedia
2007/08,2007,Bnei Yehuda,Ironi Kiryat Shmona,1,1,0,D,1,1,wikipedia
2007/08,2007,Bnei Yehuda,Maccabi Haifa,0,3,-3,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Maccabi Herzliya,0,1,-1,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Maccabi Netanya,1,2,-1,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Maccabi Petah Tikva,0,1,-1,A,0,3,wikipedia
2007/08,2007,Bnei Yehuda,Maccabi Tel Aviv,0,4,-4,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Beitar Jerusalem,1,2,-1,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Bnei Sakhnin,3,1,2,H,3,0,wikipedia
2007/08,2007,F.C. Ashdod,Bnei Yehuda,3,0,3,H,3,0,wikipedia
2007/08,2007,F.C. Ashdod,Hapoel Kfar Saba,2,4,-2,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Hapoel Tel Aviv,1,1,0,D,1,1,wikipedia
2007/08,2007,F.C. Ashdod,Ironi Kiryat Shmona,0,0,0,D,1,1,wikipedia
2007/08,2007,F.C. Ashdod,Maccabi Haifa,1,0,1,H,3,0,wikipedia
2007/08,2007,F.C. Ashdod,Maccabi Herzliya,0,1,-1,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Maccabi Netanya,1,6,-5,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Maccabi Petah Tikva,1,3,-2,A,0,3,wikipedia
2007/08,2007,F.C. Ashdod,Maccabi Tel Aviv,0,0,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,Beitar Jerusalem,1,1,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,Bnei Sakhnin,0,0,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,Bnei Yehuda,0,0,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,F.C. Ashdod,3,1,2,H,3,0,wikipedia
2007/08,2007,Hapoel Kfar Saba,Hapoel Tel Aviv,1,1,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,Ironi Kiryat Shmona,2,3,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Kfar Saba,Maccabi Haifa,0,3,-3,A,0,3,wikipedia
2007/08,2007,Hapoel Kfar Saba,Maccabi Herzliya,2,3,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Kfar Saba,Maccabi Netanya,1,2,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Kfar Saba,Maccabi Petah Tikva,0,0,0,D,1,1,wikipedia
2007/08,2007,Hapoel Kfar Saba,Maccabi Tel Aviv,0,3,-3,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Beitar Jerusalem,1,2,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Bnei Sakhnin,0,1,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Bnei Yehuda,1,0,1,H,3,0,wikipedia
2007/08,2007,Hapoel Tel Aviv,F.C. Ashdod,0,2,-2,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Hapoel Kfar Saba,1,2,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Ironi Kiryat Shmona,0,1,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Maccabi Haifa,2,0,2,H,3,0,wikipedia
2007/08,2007,Hapoel Tel Aviv,Maccabi Herzliya,0,2,-2,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Maccabi Netanya,0,1,-1,A,0,3,wikipedia
2007/08,2007,Hapoel Tel Aviv,Maccabi Petah Tikva,2,1,1,H,3,0,wikipedia
2007/08,2007,Hapoel Tel Aviv,Maccabi Tel Aviv,1,0,1,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Beitar Jerusalem,0,3,-3,A,0,3,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Bnei Sakhnin,0,0,0,D,1,1,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Bnei Yehuda,2,1,1,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,F.C. Ashdod,2,1,1,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Hapoel Kfar Saba,2,2,0,D,1,1,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Hapoel Tel Aviv,2,1,1,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Maccabi Haifa,1,1,0,D,1,1,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Maccabi Herzliya,3,0,3,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Maccabi Netanya,0,0,0,D,1,1,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Maccabi Petah Tikva,2,1,1,H,3,0,wikipedia
2007/08,2007,Ironi Kiryat Shmona,Maccabi Tel Aviv,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,Beitar Jerusalem,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Haifa,Bnei Sakhnin,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Haifa,Bnei Yehuda,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,F.C. Ashdod,3,0,3,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,Hapoel Kfar Saba,2,1,1,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,Hapoel Tel Aviv,2,0,2,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,Ironi Kiryat Shmona,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Haifa,Maccabi Herzliya,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Haifa,Maccabi Netanya,0,2,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Haifa,Maccabi Petah Tikva,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Haifa,Maccabi Tel Aviv,3,1,2,H,3,0,wikipedia
2007/08,2007,Maccabi Herzliya,Beitar Jerusalem,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Herzliya,Bnei Sakhnin,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,Bnei Yehuda,0,2,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,F.C. Ashdod,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Herzliya,Hapoel Kfar Saba,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Herzliya,Hapoel Tel Aviv,2,3,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,Ironi Kiryat Shmona,1,3,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,Maccabi Haifa,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,Maccabi Netanya,1,2,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Herzliya,Maccabi Petah Tikva,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Herzliya,Maccabi Tel Aviv,1,3,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Netanya,Beitar Jerusalem,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Netanya,Bnei Sakhnin,1,2,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Netanya,Bnei Yehuda,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Netanya,F.C. Ashdod,3,0,3,H,3,0,wikipedia
2007/08,2007,Maccabi Netanya,Hapoel Kfar Saba,2,3,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Netanya,Hapoel Tel Aviv,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Netanya,Ironi Kiryat Shmona,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Netanya,Maccabi Haifa,2,1,1,H,3,0,wikipedia
2007/08,2007,Maccabi Netanya,Maccabi Herzliya,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Netanya,Maccabi Petah Tikva,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Netanya,Maccabi Tel Aviv,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Petah Tikva,Beitar Jerusalem,1,2,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Petah Tikva,Bnei Sakhnin,2,0,2,H,3,0,wikipedia
2007/08,2007,Maccabi Petah Tikva,Bnei Yehuda,1,0,1,H,3,0,wikipedia
2007/08,2007,Maccabi Petah Tikva,F.C. Ashdod,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Petah Tikva,Hapoel Kfar Saba,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Petah Tikva,Hapoel Tel Aviv,2,1,1,H,3,0,wikipedia
2007/08,2007,Maccabi Petah Tikva,Ironi Kiryat Shmona,3,1,2,H,3,0,wikipedia
2007/08,2007,Maccabi Petah Tikva,Maccabi Haifa,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Petah Tikva,Maccabi Herzliya,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Petah Tikva,Maccabi Netanya,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Petah Tikva,Maccabi Tel Aviv,3,2,1,H,3,0,wikipedia
2007/08,2007,Maccabi Tel Aviv,Beitar Jerusalem,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Tel Aviv,Bnei Sakhnin,0,0,0,D,1,1,wikipedia
2007/08,2007,Maccabi Tel Aviv,Bnei Yehuda,3,1,2,H,3,0,wikipedia
2007/08,2007,Maccabi Tel Aviv,F.C. Ashdod,1,1,0,D,1,1,wikipedia
2007/08,2007,Maccabi Tel Aviv,Hapoel Kfar Saba,0,1,-1,A,0,3,wikipedia
2007/08,2007,Maccabi Tel Aviv,Hapoel Tel Aviv,1,3,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Tel Aviv,Ironi Kiryat Shmona,2,2,0,D,1,1,wikipedia
2007/08,2007,Maccabi Tel Aviv,Maccabi Haifa,0,3,-3,A,0,3,wikipedia
2007/08,2007,Maccabi Tel Aviv,Maccabi Herzliya,2,0,2,H,3,0,wikipedia
2007/08,2007,Maccabi Tel Aviv,Maccabi Netanya,0,2,-2,A,0,3,wikipedia
2007/08,2007,Maccabi Tel Aviv,Maccabi Petah Tikva,2,1,1,H,3,0,wikipedia
2007/08,2007,B. Jerusalem,Bnei Sakhnin,1,2,-1,A,0,3,transfermarkt_fill
2007/08,2007,Bnei Sakhnin,H. Kfar Saba,1,1,0,D,1,1,transfermarkt_fill
2007/08,2007,Bnei Sakhnin,H. Kfar Saba,2,0,2,H,3,0,transfermarkt_fill
2007/08,2007,Kiryat Shmona,Bnei Sakhnin,0,0,0,D,1,1,transfermarkt_fill
2007/08,2007,H. Kfar Saba,Bnei Yehuda,0,0,0,D,1,1,transfermarkt_fill
2007/08,2007,M. Tel Aviv,Maccabi Haifa,0,3,-3,A,0,3,transfermarkt_fill
2007/08,2007,Maccabi Netanya,FC Ashdod,1,0,1,H,3,0,transfermarkt_fill
2007/08,2007,Maccabi Haifa,FC Ashdod,3,0,3,H,3,0,transfermarkt_fill
2007/08,2007,Maccabi Herzlya,M. Tel Aviv,1,0,1,H,3,0,transfermarkt_fill
2007/08,2007,H. Kfar Saba,Maccabi Haifa,0,3,-3,A,0,3,transfermarkt_fill
2007/08,2007,Bnei Yehuda,Maccabi Herzlya,2,0,2,H,3,0,transfermarkt_fill
2007/08,2007,M. Petah Tikva,FC Ashdod,0,0,0,D,1,1,transfermarkt_fill
2007/08,2007,Maccabi Herzlya,M. Petah Tikva,1,1,0,D,1,1,transfermarkt_fill
2007/08,2007,Bnei Yehuda,M. Petah Tikva,0,1,-1,A,0,3,transfermarkt_fill
2007/08,2007,Bnei Sakhnin,FC Ashdod,3,0,3,H,3,0,transfermarkt_fill
2007/08,2007,M. Petah Tikva,M. Tel Aviv,3,2,1,H,3,0,transfermarkt_fill
2007/08,2007,Maccabi Netanya,FC Ashdod,3,0,3,H,3,0,transfermarkt_fill
2007/08,2007,Maccabi Haifa,B. Jerusalem,0,1,-1,A,0,3,transfermarkt_fill
2007/08,2007,FC Ashdod,Bnei Sakhnin,3,1,2,H,3,0,transfermarkt_fill
2007/08,2007,M. Petah Tikva,B. Jerusalem,1,2,-1,A,0,3,transfermarkt_fill
2007/08,2007,H. Kfar Saba,Kiryat Shmona,2,3,-1,A,0,3,transfermarkt_fill
2007/08,2007,B. Jerusalem,H. Kfar Saba,4,0,4,H,3,0,transfermarkt_fill
2007/08,2007,Maccabi Haifa,M. Petah Tikva,0,0,0,D,1,1,transfermarkt_fill
2007/08,2007,Maccabi Herzlya,Bnei Sakhnin,0,1,-1,A,0,3,transfermarkt_fill
2007/08,2007,Kiryat Shmona,Hapoel Tel Aviv,2,1,1,H,3,0,transfermarkt_fill
