season,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points,one_sided
2016/17,F.C. Ashdod,BEI,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,BnS,1,1,0,D,1,1,0
2016/17,F.C. Ashdod,BnY,2,2,0,D,1,1,0
2016/17,F.C. Ashdod,HAS,1,0,1,H,3,0,0
2016/17,F.C. Ashdod,HBS,0,1,-1,A,0,3,0
2016/17,F.C. Ashdod,HHA,1,3,-2,A,0,3,0
2016/17,F.C. Ashdod,HKS,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,HRA,0,1,-1,A,0,3,0
2016/17,F.C. Ashdod,HTA,1,0,1,H,3,0,0
2016/17,F.C. Ashdod,IKS,0,0,0,D,1,1,0
2016/17,F.C. Ashdod,MHA,1,1,0,D,1,1,0
2016/17,F.C. Ashdod,MPT,2,2,0,D,1,1,0
2016/17,F.C. Ashdod,MTA,1,2,-1,A,0,3,0
2016/17,Beitar Jerusalem,ASH,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,BnS,0,1,-1,A,0,3,0
2016/17,Beitar Jerusalem,BnY,2,2,0,D,1,1,0
2016/17,Beitar Jerusalem,HAS,3,0,3,H,3,0,1
2016/17,Beitar Jerusalem,HBS,1,3,-2,A,0,3,0
2016/17,Beitar Jerusalem,HHA,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HKS,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HRA,1,0,1,H,3,0,0
2016/17,Beitar Jerusalem,HTA,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,IKS,2,2,0,D,1,1,0
2016/17,Beitar Jerusalem,MHA,0,1,-1,A,0,3,0
2016/17,Beitar Jerusalem,MPT,1,1,0,D,1,1,0
2016/17,Beitar Jerusalem,MTA,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,ASH,0,1,-1,A,0,3,0
2016/17,Bnei Sakhnin,BEI,0,2,-2,A,0,3,0
2016/17,Bnei Sakhnin,BnY,1,1,0,D,1,1,0
2016/17,Bnei Sakhnin,HAS,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,HBS,0,0,0,D,1,1,0
2016/17,Bnei Sakhnin,HHA,2,1,1,H,3,0,0
2016/17,Bnei Sakhnin,HKS,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,HRA,1,1,0,D,1,1,0
2016/17,Bnei Sakhnin,HTA,0,0,0,D,1,1,0
2016/17,Bnei Sakhnin,IKS,5,2,3,H,3,0,1
2016/17,Bnei Sakhnin,MHA,1,0,1,H,3,0,0
2016/17,Bnei Sakhnin,MPT,0,1,-1,A,0,3,0
2016/17,Bnei Sakhnin,MTA,0,3,-3,A,0,3,1
2016/17,Bnei Yehuda,ASH,2,0,2,H,3,0,0
2016/17,Bnei Yehuda,BEI,1,1,0,D,1,1,0
2016/17,Bnei Yehuda,BnS,1,1,0,D,1,1,0
2016/17,Bnei Yehuda,HAS,0,0,0,D,1,1,0
2016/17,Bnei Yehuda,HBS,0,3,-3,A,0,3,1
2016/17,Bnei Yehuda,HHA,1,1,0,D,1,1,0
2016/17,Bnei Yehuda,HKS,1,1,0,D,1,1,0
2016/17,Bnei Yehuda,HRA,0,2,-2,A,0,3,0
2016/17,Bnei Yehuda,HTA,0,1,-1,A,0,3,0
2016/17,Bnei Yehuda,IKS,0,1,-1,A,0,3,0
2016/17,Bnei Yehuda,MHA,1,1,0,D,1,1,0
2016/17,Bnei Yehuda,MPT,1,4,-3,A,0,3,1
2016/17,Bnei Yehuda,MTA,1,0,1,H,3,0,0
2016/17,Hapoel Ashkelon,ASH,0,0,0,D,1,1,0
2016/17,Hapoel Ashkelon,BEI,1,1,0,D,1,1,0
2016/17,Hapoel Ashkelon,BnS,0,1,-1,A,0,3,0
2016/17,Hapoel Ashkelon,BnY,1,0,1,H,3,0,0
2016/17,Hapoel Ashkelon,HBS,1,5,-4,A,0,3,1
2016/17,Hapoel Ashkelon,HHA,3,2,1,H,3,0,0
2016/17,Hapoel Ashkelon,HKS,0,0,0,D,1,1,0
2016/17,Hapoel Ashkelon,HRA,0,0,0,D,1,1,0
2016/17,Hapoel Ashkelon,HTA,0,1,-1,A,0,3,0
2016/17,Hapoel Ashkelon,IKS,1,1,0,D,1,1,0
2016/17,Hapoel Ashkelon,MHA,0,2,-2,A,0,3,0
2016/17,Hapoel Ashkelon,MPT,0,1,-1,A,0,3,0
2016/17,Hapoel Ashkelon,MTA,1,2,-1,A,0,3,0
2016/17,Hapoel Be'er Sheva,ASH,5,0,5,H,3,0,1
2016/17,Hapoel Be'er Sheva,BEI,2,1,1,H,3,0,0
2016/17,Hapoel Be'er Sheva,BnS,3,0,3,H,3,0,1
2016/17,Hapoel Be'er Sheva,BnY,2,1,1,H,3,0,0
2016/17,Hapoel Be'er Sheva,HAS,2,1,1,H,3,0,0
2016/17,Hapoel Be'er Sheva,HHA,5,1,4,H,3,0,1
2016/17,Hapoel Be'er Sheva,HKS,3,0,3,H,3,0,1
2016/17,Hapoel Be'er Sheva,HRA,2,1,1,H,3,0,0
2016/17,Hapoel Be'er Sheva,HTA,1,1,0,D,1,1,0
2016/17,Hapoel Be'er Sheva,IKS,2,0,2,H,3,0,0
2016/17,Hapoel Be'er Sheva,MHA,2,0,2,H,3,0,0
2016/17,Hapoel Be'er Sheva,MPT,5,0,5,H,3,0,1
2016/17,Hapoel Be'er Sheva,MTA,2,0,2,H,3,0,0
2016/17,Hapoel Haifa,ASH,0,1,-1,A,0,3,0
2016/17,Hapoel Haifa,BEI,4,0,4,H,3,0,1
2016/17,Hapoel Haifa,BnS,0,1,-1,A,0,3,0
2016/17,Hapoel Haifa,BnY,1,0,1,H,3,0,0
2016/17,Hapoel Haifa,HAS,3,1,2,H,3,0,0
2016/17,Hapoel Haifa,HBS,0,0,0,D,1,1,0
2016/17,Hapoel Haifa,HKS,1,2,-1,A,0,3,0
2016/17,Hapoel Haifa,HRA,1,0,1,H,3,0,0
2016/17,Hapoel Haifa,HTA,0,2,-2,A,0,3,0
2016/17,Hapoel Haifa,IKS,1,2,-1,A,0,3,0
2016/17,Hapoel Haifa,MHA,0,0,0,D,1,1,0
2016/17,Hapoel Haifa,MPT,2,1,1,H,3,0,0
2016/17,Hapoel Haifa,MTA,2,4,-2,A,0,3,0
2016/17,Hapoel Kfar Saba,ASH,1,0,1,H,3,0,0
2016/17,Hapoel Kfar Saba,BEI,0,2,-2,A,0,3,0
2016/17,Hapoel Kfar Saba,BnS,2,1,1,H,3,0,0
2016/17,Hapoel Kfar Saba,BnY,0,1,-1,A,0,3,0
2016/17,Hapoel Kfar Saba,HAS,1,1,0,D,1,1,0
2016/17,Hapoel Kfar Saba,HBS,0,2,-2,A,0,3,0
2016/17,Hapoel Kfar Saba,HHA,1,2,-1,A,0,3,0
2016/17,Hapoel Kfar Saba,HRA,1,2,-1,A,0,3,0
2016/17,Hapoel Kfar Saba,HTA,0,0,0,D,1,1,0
2016/17,Hapoel Kfar Saba,IKS,2,2,0,D,1,1,0
2016/17,Hapoel Kfar Saba,MHA,0,2,-2,A,0,3,0
2016/17,Hapoel Kfar Saba,MPT,1,3,-2,A,0,3,0
2016/17,Hapoel Kfar Saba,MTA,1,1,0,D,1,1,0
2016/17,Hapoel Ra'anana,ASH,0,0,0,D,1,1,0
2016/17,Hapoel Ra'anana,BEI,0,4,-4,A,0,3,1
2016/17,Hapoel Ra'anana,BnS,0,1,-1,A,0,3,0
2016/17,Hapoel Ra'anana,BnY,1,0,1,H,3,0,0
2016/17,Hapoel Ra'anana,HAS,0,2,-2,A,0,3,0
2016/17,Hapoel Ra'anana,HBS,1,0,1,H,3,0,0
2016/17,Hapoel Ra'anana,HHA,2,0,2,H,3,0,0
2016/17,Hapoel Ra'anana,HKS,1,0,1,H,3,0,0
2016/17,Hapoel Ra'anana,HTA,0,0,0,D,1,1,0
2016/17,Hapoel Ra'anana,IKS,0,3,-3,A,0,3,1
2016/17,Hapoel Ra'anana,MHA,1,1,0,D,1,1,0
2016/17,Hapoel Ra'anana,MPT,0,1,-1,A,0,3,0
2016/17,Hapoel Ra'anana,MTA,0,3,-3,A,0,3,1
2016/17,Hapoel Tel Aviv,ASH,2,0,2,H,3,0,0
2016/17,Hapoel Tel Aviv,BEI,1,2,-1,A,0,3,0
2016/17,Hapoel Tel Aviv,BnS,1,1,0,D,1,1,0
2016/17,Hapoel Tel Aviv,BnY,1,2,-1,A,0,3,0
2016/17,Hapoel Tel Aviv,HAS,2,0,2,H,3,0,0
2016/17,Hapoel Tel Aviv,HBS,0,0,0,D,1,1,0
2016/17,Hapoel Tel Aviv,HHA,0,0,0,D,1,1,0
2016/17,Hapoel Tel Aviv,HKS,1,1,0,D,1,1,0
2016/17,Hapoel Tel Aviv,HRA,0,0,0,D,1,1,0
2016/17,Hapoel Tel Aviv,IKS,3,3,0,D,1,1,0
2016/17,Hapoel Tel Aviv,MHA,0,2,-2,A,0,3,0
2016/17,Hapoel Tel Aviv,MPT,0,1,-1,A,0,3,0
2016/17,Hapoel Tel Aviv,MTA,0,1,-1,A,0,3,0
2016/17,Ironi Kiryat Shmona,ASH,1,0,1,H,3,0,0
2016/17,Ironi Kiryat Shmona,BEI,2,0,2,H,3,0,0
2016/17,Ironi Kiryat Shmona,BnS,2,2,0,D,1,1,0
2016/17,Ironi Kiryat Shmona,BnY,0,1,-1,A,0,3,0
2016/17,Ironi Kiryat Shmona,HAS,4,1,3,H,3,0,1
2016/17,Ironi Kiryat Shmona,HBS,0,2,-2,A,0,3,0
2016/17,Ironi Kiryat Shmona,HHA,2,0,2,H,3,0,0
2016/17,Ironi Kiryat Shmona,HKS,1,2,-1,A,0,3,0
2016/17,Ironi Kiryat Shmona,HRA,0,0,0,D,1,1,0
2016/17,Ironi Kiryat Shmona,HTA,2,1,1,H,3,0,0
2016/17,Ironi Kiryat Shmona,MHA,3,0,3,H,3,0,1
2016/17,Ironi Kiryat Shmona,MPT,0,1,-1,A,0,3,0
2016/17,Ironi Kiryat Shmona,MTA,1,2,-1,A,0,3,0
2016/17,Maccabi Haifa,ASH,0,1,-1,A,0,3,0
2016/17,Maccabi Haifa,BEI,0,2,-2,A,0,3,0
2016/17,Maccabi Haifa,BnS,1,2,-1,A,0,3,0
2016/17,Maccabi Haifa,BnY,1,1,0,D,1,1,0
2016/17,Maccabi Haifa,HAS,5,0,5,H,3,0,1
2016/17,Maccabi Haifa,HBS,2,1,1,H,3,0,0
2016/17,Maccabi Haifa,HHA,0,3,-3,A,0,3,1
2016/17,Maccabi Haifa,HKS,2,0,2,H,3,0,0
2016/17,Maccabi Haifa,HRA,2,0,2,H,3,0,0
2016/17,Maccabi Haifa,HTA,1,0,1,H,3,0,0
2016/17,Maccabi Haifa,IKS,0,0,0,D,1,1,0
2016/17,Maccabi Haifa,MPT,0,2,-2,A,0,3,0
2016/17,Maccabi Haifa,MTA,2,2,0,D,1,1,0
2016/17,Maccabi Petah Tikva,ASH,0,1,-1,A,0,3,0
2016/17,Maccabi Petah Tikva,BEI,2,2,0,D,1,1,0
2016/17,Maccabi Petah Tikva,BnS,1,1,0,D,1,1,0
2016/17,Maccabi Petah Tikva,BnY,2,0,2,H,3,0,0
2016/17,Maccabi Petah Tikva,HAS,1,1,0,D,1,1,0
2016/17,Maccabi Petah Tikva,HBS,1,1,0,D,1,1,0
2016/17,Maccabi Petah Tikva,HHA,3,1,2,H,3,0,0
2016/17,Maccabi Petah Tikva,HKS,0,0,0,D,1,1,0
2016/17,Maccabi Petah Tikva,HRA,2,0,2,H,3,0,0
2016/17,Maccabi Petah Tikva,HTA,2,0,2,H,3,0,0
2016/17,Maccabi Petah Tikva,IKS,2,1,1,H,3,0,0
2016/17,Maccabi Petah Tikva,MHA,2,2,0,D,1,1,0
2016/17,Maccabi Petah Tikva,MTA,0,1,-1,A,0,3,0
2016/17,Maccabi Tel Aviv,ASH,1,0,1,H,3,0,0
2016/17,Maccabi Tel Aviv,BEI,2,2,0,D,1,1,0
2016/17,Maccabi Tel Aviv,BnS,2,1,1,H,3,0,0
2016/17,Maccabi Tel Aviv,BnY,2,0,2,H,3,0,0
2016/17,Maccabi Tel Aviv,HAS,0,0,0,D,1,1,0
2016/17,Maccabi Tel Aviv,HBS,1,0,1,H,3,0,0
2016/17,Maccabi Tel Aviv,HHA,1,0,1,H,3,0,0
2016/17,Maccabi Tel Aviv,HKS,3,1,2,H,3,0,0
2016/17,Maccabi Tel Aviv,HRA,4,1,3,H,3,0,1
2016/17,Maccabi Tel Aviv,HTA,5,0,5,H,3,0,1
2016/17,Maccabi Tel Aviv,IKS,3,0,3,H,3,0,1
2016/17,Maccabi Tel Aviv,MHA,0,2,-2,A,0,3,0
2016/17,Maccabi Tel Aviv,MPT,0,0,0,D,1,1,0
