season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2006/07,6,M. Tel Aviv,Bnei Yehuda,4:0,4,11,8,Bottom,Middle,Bottom vs Middle,4,0,Bottom won (upset!)
2006/07,7,Hakoah Amidar,H. Petah Tikva,0:3,3,9,12,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2006/07,18,Maccabi Haifa,Maccabi Herzlya,0:4,4,5,11,Middle,Bottom,Bottom vs Middle,0,4,Bottom won (upset!)
2006/07,22,FC Ashdod,Hakoah Amidar,3:0,3,5,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2006/07,25,Bnei Yehuda,Maccabi Herzlya,1:4,3,9,11,Middle,Bottom,Bottom vs Middle,1,4,Bottom won (upset!)
2006/07,27,Maccabi Herzlya,Hakoah Amidar,5:0,5,10,11,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2006/07,27,FC Ashdod,H. Petah Tikva,4:1,3,7,12,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2006/07,29,Maccabi Haifa,H. Petah Tikva,6:1,5,5,12,Middle,Bottom,Bottom vs Middle,6,1,Middle won (expected)
2007/08,4,M. Tel Aviv,Maccabi Haifa,0:3,3,10,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2007/08,19,Bnei Yehuda,M. Tel Aviv,0:4,4,12,9,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2007/08,23,M. Petah Tikva,FC Ashdod,0:3,3,6,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2007/08,32,Maccabi Haifa,Maccabi Herzlya,3:0,3,5,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2008/09,14,B. Jerusalem,Hakoah Amidar,3:0,3,7,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2009/10,4,M. Petah Tikva,H. Beer Sheva,3:0,3,13,9,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2009/10,5,Maccabi Netanya,Hapoel Tel Aviv,0:3,3,14,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,6,Hapoel Raanana,M. Tel Aviv,0:3,3,15,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,9,M. Ahi Nazareth,H. Beer Sheva,1:4,3,11,7,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2009/10,13,Bnei Sakhnin,Maccabi Netanya,0:3,3,13,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,25,Hapoel Acre,B. Jerusalem,0:3,3,14,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2009/10,26,Maccabi Netanya,M. Ahi Nazareth,5:0,5,9,15,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2009/10,28,B. Jerusalem,M. Ahi Nazareth,5:0,5,5,15,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2010/11,3,M. Tel Aviv,Bnei Sakhnin,4:0,4,8,14,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2010/11,4,B. Jerusalem,H. Beer Sheva,5:1,4,16,7,Bottom,Middle,Bottom vs Middle,5,1,Bottom won (upset!)
2010/11,6,H. Petah Tikva,M. Petah Tikva,1:4,3,15,8,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2010/11,14,Hapoel Acre,B. Jerusalem,3:0,3,7,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,15,M. Petah Tikva,Bnei Yehuda,3:0,3,6,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,17,Hapoel Acre,H. Petah Tikva,3:0,3,6,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,23,Maccabi Netanya,H. Ashkelon,3:0,3,7,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2010/11,23,M. Petah Tikva,H. Ramat Gan,4:1,3,6,16,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2010/11,25,M. Petah Tikva,H. Ashkelon,4:0,4,5,14,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2010/11,28,Hapoel Haifa,Bnei Sakhnin,4:1,3,9,14,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2011/12,1,Hapoel Tel Aviv,M. Petah Tikva,4:1,3,8,13,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2011/12,6,Maccabi Haifa,Ramat haSharon,5:0,5,7,13,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2011/12,7,FC Ashdod,B. Jerusalem,3:0,3,12,9,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2011/12,8,Hapoel Tel Aviv,H. Petah Tikva,5:0,5,5,16,Middle,Bottom,Bottom vs Middle,5,0,Middle won (expected)
2011/12,9,H Rishon leZion,Hapoel Acre,0:3,3,12,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2011/12,9,Bnei Sakhnin,B. Jerusalem,3:0,3,7,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2011/12,10,Hapoel Tel Aviv,H Rishon leZion,6:0,6,5,13,Middle,Bottom,Bottom vs Middle,6,0,Middle won (expected)
2011/12,10,M. Petah Tikva,Maccabi Haifa,1:4,3,11,9,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2011/12,12,Maccabi Netanya,H Rishon leZion,6:2,4,6,13,Middle,Bottom,Bottom vs Middle,6,2,Middle won (expected)
2011/12,12,B. Jerusalem,Maccabi Haifa,1:4,3,11,7,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2011/12,20,Bnei Yehuda,H. Petah Tikva,5:1,4,9,16,Middle,Bottom,Bottom vs Middle,5,1,Middle won (expected)
2011/12,21,M. Tel Aviv,H. Beer Sheva,4:0,4,5,12,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2011/12,25,Maccabi Haifa,M. Petah Tikva,4:1,3,8,11,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2011/12,29,Bnei Sakhnin,H. Petah Tikva,3:0,3,5,16,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2011/12,29,Bnei Yehuda,H. Beer Sheva,5:1,4,8,12,Middle,Bottom,Bottom vs Middle,5,1,Middle won (expected)
2012/13,3,Hapoel Acre,Bnei Sakhnin,5:1,4,10,11,Middle,Bottom,Bottom vs Middle,5,1,Middle won (expected)
2012/13,10,B. Jerusalem,Hapoel Haifa,3:0,3,6,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2012/13,12,Hapoel Acre,H. Ramat Gan,0:3,3,8,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2012/13,19,Hapoel Haifa,Ramat haSharon,3:0,3,14,6,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2012/13,23,H. Ramat Gan,H. Beer Sheva,3:0,3,12,9,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2012/13,23,Hapoel Haifa,B. Jerusalem,3:0,3,13,7,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2013/14,4,FC Ashdod,Ramat haSharon,3:0,3,8,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2013/14,6,M. Petah Tikva,Maccabi Haifa,0:3,3,11,10,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2013/14,7,Ramat haSharon,Hapoel Tel Aviv,0:5,5,14,8,Bottom,Middle,Bottom vs Middle,0,5,Middle won (expected)
2013/14,14,Hapoel Haifa,Ramat haSharon,3:0,3,8,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2014/15,4,H. Petah Tikva,Hapoel Acre,4:1,3,14,10,Bottom,Middle,Bottom vs Middle,4,1,Bottom won (upset!)
2014/15,13,Hapoel Haifa,Maccabi Haifa,0:4,4,14,7,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2014/15,16,B. Jerusalem,Hapoel Acre,4:0,4,5,14,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2015/16,2,Hapoel Tel Aviv,Kiryat Shmona,0:3,3,8,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2015/16,8,Maccabi Haifa,Hapoel Acre,4:0,4,14,10,Bottom,Middle,Bottom vs Middle,4,0,Bottom won (upset!)
2015/16,11,Hapoel Tel Aviv,Maccabi Haifa,0:3,3,10,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2015/16,17,Kiryat Shmona,Maccabi Netanya,3:0,3,8,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2015/16,25,Maccabi Netanya,Maccabi Haifa,0:3,3,14,5,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2016/17,11,Kiryat Shmona,H. Ashkelon,4:1,3,7,13,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2017/18,5,Hapoel Raanana,H. Ashkelon,0:3,3,13,10,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2017/18,5,FC Ashdod,Maccabi Netanya,0:3,3,14,8,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2017/18,9,M. Tel Aviv,Hapoel Acre,5:2,3,5,14,Middle,Bottom,Bottom vs Middle,5,2,Middle won (expected)
2017/18,13,Kiryat Shmona,Hapoel Acre,4:0,4,7,14,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2017/18,15,Hapoel Acre,Maccabi Netanya,0:3,3,14,5,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2017/18,17,Hapoel Raanana,Maccabi Haifa,0:3,3,12,9,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2017/18,21,M. Petah Tikva,H. Ashkelon,3:0,3,8,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2017/18,26,Hapoel Acre,Kiryat Shmona,0:3,3,14,9,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2018/19,5,Bnei Yehuda,Hapoel Raanana,3:0,3,12,7,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2018/19,6,Hapoel Haifa,Bnei Sakhnin,0:3,3,8,14,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2018/19,9,FC Ashdod,Hapoel Haifa,0:3,3,9,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2018/19,19,Bnei Sakhnin,Hapoel Haifa,0:4,4,13,6,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2018/19,20,B. Jerusalem,FC Ashdod,4:1,3,10,14,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2019/20,2,Maccabi Netanya,Ness Ziona,3:0,3,7,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2019/20,3,Hapoel Hadera,Hapoel Raanana,4:0,4,12,9,Bottom,Middle,Bottom vs Middle,4,0,Bottom won (upset!)
2019/20,6,Maccabi Netanya,B. Jerusalem,0:3,3,8,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2019/20,7,Ness Ziona,B. Jerusalem,0:4,4,14,9,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2019/20,15,H. Kfar Saba,Kiryat Shmona,0:3,3,9,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2019/20,25,Kiryat Shmona,Maccabi Netanya,3:0,3,12,8,Bottom,Middle,Bottom vs Middle,3,0,Bottom won (upset!)
2020/21,2,Maccabi Netanya,Bnei Sakhnin,7:0,7,8,14,Middle,Bottom,Bottom vs Middle,7,0,Middle won (expected)
2020/21,10,Bnei Yehuda,Hapoel Hadera,0:3,3,7,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2020/21,11,Hapoel Tel Aviv,H. Beer Sheva,0:3,3,14,7,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2020/21,15,Hapoel Hadera,B. Jerusalem,0:4,4,12,10,Bottom,Middle,Bottom vs Middle,0,4,Middle won (expected)
2020/21,17,FC Ashdod,Bnei Yehuda,4:0,4,5,11,Middle,Bottom,Bottom vs Middle,4,0,Middle won (expected)
2021/22,2,H. Jerusalem,B. Jerusalem,0:3,3,6,14,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2021/22,6,H. Jerusalem,Maccabi Haifa,1:4,3,14,6,Bottom,Middle,Bottom vs Middle,1,4,Middle won (expected)
2021/22,7,Bnei Sakhnin,Kiryat Shmona,0:3,3,8,12,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2021/22,9,M. Petah Tikva,B. Jerusalem,0:3,3,9,11,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2021/22,16,FC Ashdod,H. Nof HaGalil,3:0,3,10,13,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2021/22,17,H. Nof HaGalil,Kiryat Shmona,2:6,4,13,7,Bottom,Middle,Bottom vs Middle,2,6,Middle won (expected)
2021/22,20,Hapoel Haifa,B. Jerusalem,5:1,4,5,11,Middle,Bottom,Bottom vs Middle,5,1,Middle won (expected)
2022/23,2,B. Jerusalem,H. Beer Sheva,0:5,5,13,9,Bottom,Middle,Bottom vs Middle,0,5,Middle won (expected)
2022/23,14,B. Jerusalem,Maccabi Netanya,6:3,3,11,8,Bottom,Middle,Bottom vs Middle,6,3,Bottom won (upset!)
2022/23,18,FC Ashdod,M. Bnei Reineh,3:0,3,8,14,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2022/23,20,Maccabi Netanya,Ness Ziona,3:0,3,8,12,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2022/23,21,Kiryat Shmona,B. Jerusalem,0:3,3,12,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2023/24,3,Maccabi Netanya,H. Petah Tikva,4:1,3,11,9,Bottom,Middle,Bottom vs Middle,4,1,Bottom won (upset!)
2023/24,5,H. Beer Sheva,H. Jerusalem,3:0,3,5,11,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2023/24,5,B. Jerusalem,Hapoel Tel Aviv,0:3,3,12,10,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2023/24,10,Maccabi Netanya,B. Jerusalem,0:3,3,10,13,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2023/24,11,Hapoel Tel Aviv,H. Petah Tikva,4:1,3,5,12,Middle,Bottom,Bottom vs Middle,4,1,Middle won (expected)
2023/24,26,M. Petah Tikva,B. Jerusalem,0:3,3,7,12,Middle,Bottom,Bottom vs Middle,0,3,Bottom won (upset!)
2024/25,3,Hapoel Haifa,H. Jerusalem,4:0,4,11,10,Bottom,Middle,Bottom vs Middle,4,0,Bottom won (upset!)
2024/25,5,H. Jerusalem,M. Petah Tikva,4:1,3,14,10,Bottom,Middle,Bottom vs Middle,4,1,Bottom won (upset!)
2024/25,5,Hapoel Hadera,FC Ashdod,0:3,3,13,9,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2024/25,8,Maccabi Netanya,Hapoel Haifa,0:3,3,12,6,Bottom,Middle,Bottom vs Middle,0,3,Middle won (expected)
2024/25,14,Hapoel Haifa,Hapoel Hadera,3:0,3,7,13,Middle,Bottom,Bottom vs Middle,3,0,Middle won (expected)
2024/25,17,Hapoel Haifa,M. Petah Tikva,5:1,4,5,12,Middle,Bottom,Bottom vs Middle,5,1,Middle won (expected)
2024/25,23,M. Bnei Reineh,FC Ashdod,1:4,3,7,13,Middle,Bottom,Bottom vs Middle,1,4,Bottom won (upset!)
2025/26,4,M. Bnei Reineh,H. Petah Tikva,1:6,5,12,8,Bottom,Middle,Bottom vs Middle,1,6,Middle won (expected)
